"","ID","lat","lon","c_lat","c_lon","u_maow","pres"
"1",28,-29.51186,117.04237,1,1,"NO",0
"2",57,-35.37029,147.69592,1,1,"NO",0
"3",58,-35.35904,147.69889,1,1,"NO",0
"4",59,-35.37861,147.70451,1,1,"NO",0
"5",60,-35.36651,147.70689,1,1,"NO",0
"6",279,-42.00832,146.36435,1,1,"NO",0
"7",285,-31.76664,138.48828,1,1,"NO",0
"8",287,-31.75475,138.4898,1,1,"NO",0
"9",288,-31.74642,138.48752,1,1,"NO",0
"10",289,-22.71134,131.31954,1,1,"NO",0
"11",290,-22.69741,131.3433,1,1,"NO",0
"12",291,-22.71868,131.37147,1,1,"NO",0
"13",292,-22.72447,131.36579,1,1,"NO",0
"14",293,-36.45367,141.6759,1,1,"NO",0
"15",294,-36.45681,141.67293,1,1,"NO",0
"16",295,-36.45428,141.66566,1,1,"NO",0
"17",296,-36.4564,141.66963,1,1,"NO",0
