"lat","lon","owl_calls","n"
-32.48163,116.92573,"YES",993
-32.4816,116.93472,"YES",601
-32.4855,116.94571,"YES",544
-32.49134,116.93642,"YES",430
-31.76664,138.48828,"YES",371
-31.74642,138.48752,"YES",359
-27.39215,152.87546,"YES",288
-30.05543,151.86668,"YES",287
-36.45367,141.6759,"YES",191
-31.75475,138.4898,"YES",133
-27.38736,152.88025,"YES",127
-36.45428,141.66566,"YES",106
-30.08033,151.77536,"YES",97
-29.61057,116.96871,"YES",93
-24.24875,151.92559,"YES",64
-29.60537,116.96847,"YES",54
-35.37029,147.69592,"YES",53
-30.09164,151.77331,"YES",48
-36.4564,141.66963,"YES",28
-27.38869,152.87145,"YES",28
-27.38566,152.87758,"YES",21
-35.37861,147.70451,"YES",20
-36.45681,141.67293,"YES",19
-42.0125,146.36086,"YES",18
-35.35904,147.69889,"YES",15
-42.00963,146.35603,"YES",13
-30.09105,151.78556,"YES",12
-24.22063,151.91521,"YES",12
-35.36651,147.70689,"YES",11
-22.71868,131.37147,"YES",11
-22.69741,131.3433,"YES",11
-22.71134,131.31954,"YES",7
-42.00754,146.36089,"YES",5
-22.72447,131.36579,"YES",4
-29.50752,117.05431,"YES",2
-42.00832,146.36435,"YES",1
-29.51186,117.04237,"NO",0
